1output by program profit 

 resolution data reference title is  Vanadium  reference temperature is   0.0

 resolution data file vana.dat   contains  8 spectra

 resolution data used in fitting is from -0.01  to  0.01 mev (mmev) and contains 207 points

 the following resolution data is used :

     mev     s(q,w)  err s(q,w)      mev     s(q,w)  err s(q,w)      mev     s(q,w)  err s(q,w)      mev     s(q,w)  err s(q,w)

   -0.010  0.398      0.00E+00     -0.010  0.228      0.00E+00     -0.010  0.135      0.00E+00     -0.010  0.286      0.00E+00
   -0.010  0.520      0.00E+00     -0.010  0.535      0.00E+00     -0.009  0.479      0.00E+00     -0.009  0.542      0.00E+00
   -0.009  0.385      0.00E+00     -0.009  0.597      0.00E+00     -0.009  0.299      0.00E+00     -0.009  0.357      0.00E+00
   -0.009  0.583      0.00E+00     -0.009  0.572      0.00E+00     -0.009  0.362      0.00E+00     -0.009  0.334      0.00E+00
   -0.008  0.544      0.00E+00     -0.008  0.271      0.00E+00     -0.008  0.527      0.00E+00     -0.008  0.637      0.00E+00
   -0.008  0.576      0.00E+00     -0.008  0.474      0.00E+00     -0.008  0.404      0.00E+00     -0.008  0.626      0.00E+00
   -0.008  0.413      0.00E+00     -0.008  0.439      0.00E+00     -0.007  0.521      0.00E+00     -0.007  0.214      0.00E+00
   -0.007  0.374      0.00E+00     -0.007  0.795      0.00E+00     -0.007  0.538      0.00E+00     -0.007  0.381      0.00E+00
   -0.007  0.411      0.00E+00     -0.007  0.728      0.00E+00     -0.007  0.413      0.00E+00     -0.007  0.527      0.00E+00
   -0.007  0.548      0.00E+00     -0.006  0.508      0.00E+00     -0.006  0.428      0.00E+00     -0.006  0.427      0.00E+00
   -0.006  0.654      0.00E+00     -0.006  0.889E-01  0.00E+00     -0.006  0.368      0.00E+00     -0.006  0.452      0.00E+00
   -0.006  0.447      0.00E+00     -0.006  0.551      0.00E+00     -0.006  0.448      0.00E+00     -0.005  0.488      0.00E+00
   -0.005  0.485      0.00E+00     -0.005  0.308      0.00E+00     -0.005  0.470      0.00E+00     -0.005  0.580      0.00E+00
   -0.005  0.768      0.00E+00     -0.005  0.743      0.00E+00     -0.005  0.284      0.00E+00     -0.005  0.780      0.00E+00
   -0.005  0.505      0.00E+00     -0.004  0.430      0.00E+00     -0.004  0.308      0.00E+00     -0.004  0.292      0.00E+00
   -0.004  0.751      0.00E+00     -0.004  0.335      0.00E+00     -0.004  0.540      0.00E+00     -0.004  0.517      0.00E+00
   -0.004  0.616      0.00E+00     -0.004  0.676      0.00E+00     -0.004  0.585      0.00E+00     -0.003  0.495      0.00E+00
   -0.003  0.771      0.00E+00     -0.003  0.959      0.00E+00     -0.003  0.880      0.00E+00     -0.003  0.843      0.00E+00
   -0.003  0.476      0.00E+00     -0.003  0.607      0.00E+00     -0.003   1.02      0.00E+00     -0.003  0.560      0.00E+00
   -0.003   1.11      0.00E+00     -0.003  0.584      0.00E+00     -0.002  0.787      0.00E+00     -0.002  0.908      0.00E+00
   -0.002  0.770      0.00E+00     -0.002  0.531      0.00E+00     -0.002  0.693      0.00E+00     -0.002  0.646      0.00E+00
   -0.002   1.19      0.00E+00     -0.002   1.38      0.00E+00     -0.002   1.72      0.00E+00     -0.002   1.86      0.00E+00
   -0.001   2.26      0.00E+00     -0.001   1.26      0.00E+00     -0.001   2.92      0.00E+00     -0.001   2.12      0.00E+00
   -0.001   2.96      0.00E+00     -0.001   4.79      0.00E+00     -0.001   7.10      0.00E+00     -0.001   11.5      0.00E+00
   -0.001   19.5      0.00E+00     -0.001   34.9      0.00E+00      0.000   64.0      0.00E+00      0.000   97.8      0.00E+00
    0.000   126.      0.00E+00      0.000   171.      0.00E+00      0.000   194.      0.00E+00      0.000   214.      0.00E+00
    0.000   220.      0.00E+00      0.000   194.      0.00E+00      0.000   163.      0.00E+00      0.000   132.      0.00E+00
    0.000   102.      0.00E+00      0.001   78.5      0.00E+00      0.001   45.1      0.00E+00      0.001   24.8      0.00E+00
    0.001   15.8      0.00E+00      0.001   9.78      0.00E+00      0.001   6.29      0.00E+00      0.001   7.53      0.00E+00
    0.001   5.03      0.00E+00      0.001   4.94      0.00E+00      0.001   4.94      0.00E+00      0.002   4.41      0.00E+00
    0.002   5.37      0.00E+00      0.002   7.02      0.00E+00      0.002   6.67      0.00E+00      0.002   6.40      0.00E+00
    0.002   6.01      0.00E+00      0.002   5.51      0.00E+00      0.002   4.94      0.00E+00      0.002   5.35      0.00E+00
    0.002   3.54      0.00E+00      0.003   3.01      0.00E+00      0.003   1.82      0.00E+00      0.003   1.92      0.00E+00
    0.003   1.53      0.00E+00      0.003   1.08      0.00E+00      0.003   1.12      0.00E+00      0.003  0.744      0.00E+00
    0.003  0.764      0.00E+00      0.003   1.06      0.00E+00      0.003   1.03      0.00E+00      0.003  0.556      0.00E+00
    0.004  0.915      0.00E+00      0.004  0.446      0.00E+00      0.004  0.277      0.00E+00      0.004  0.405      0.00E+00
    0.004  0.243      0.00E+00      0.004  0.463      0.00E+00      0.004  0.592      0.00E+00      0.004  0.589      0.00E+00
    0.004  0.220      0.00E+00      0.004  0.484      0.00E+00      0.005  0.306      0.00E+00      0.005  0.529      0.00E+00
    0.005   1.17      0.00E+00      0.005  0.856      0.00E+00      0.005  0.614      0.00E+00      0.005  0.527      0.00E+00
    0.005  0.419      0.00E+00      0.005  0.200      0.00E+00      0.005  0.943      0.00E+00      0.005   1.41      0.00E+00
